concello,wikidata,concelloNombre,qid,label,coord,lat,lon,imagen,web
http://example.org/resource/concello/27066,http://www.wikidata.org/entity/Q641221,27066,Q641221,Vivero,Point(-7.59 43.648055555),43.648055555,-7.59,http://commons.wikimedia.org/wiki/Special:FilePath/Viveiro%20e%20a%20sua%20ria%20%289581685985%29.jpg,http://www.viveiro.es
http://example.org/resource/concello/27901,http://www.wikidata.org/entity/Q1633465,27901,Q1633465,Baralla,Point(-7.2500667 42.8936084),42.8936084,-7.2500667,http://commons.wikimedia.org/wiki/Special:FilePath/Baralla%2C%20en%20Lugo%20%28Espa%C3%B1a%29.jpg,http://www.concellobaralla.es/
http://example.org/resource/concello/27902,http://www.wikidata.org/entity/Q1619456,27902,Q1619456,Burela,Point(-7.3582092 43.6604617),43.6604617,-7.3582092,http://commons.wikimedia.org/wiki/Special:FilePath/Burela%2C%20en%20Lugo%20%28Espa%C3%B1a%29.jpg,http://www.burela.org
http://example.org/resource/concello/32001,http://www.wikidata.org/entity/Q1438879,32001,Q1438879,Allariz,Point(-7.801795 42.190083),42.190083,-7.801795,http://commons.wikimedia.org/wiki/Special:FilePath/Allariz%20concello.JPG,https://www.allariz.gal/
http://example.org/resource/concello/32002,http://www.wikidata.org/entity/Q1627616,32002,Q1627616,Amoeiro,Point(-7.953333333 42.41),42.41,-7.953333333,http://commons.wikimedia.org/wiki/Special:FilePath/Amoeiro.Ourense%2CSolpor.jpg,
http://example.org/resource/concello/32003,http://www.wikidata.org/entity/Q1631832,32003,Q1631832,Arnoya,Point(-8.133055555 42.250277777),42.250277777,-8.133055555,http://commons.wikimedia.org/wiki/Special:FilePath/Concello%20da%20Arnoia.jpg,https://www.arnoia.es/
http://example.org/resource/concello/32004,http://www.wikidata.org/entity/Q791209,32004,Q791209,Avión,Point(-8.272777777 42.388333333),42.388333333,-8.272777777,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20consistorial%20de%20Avi%C3%B3n.jpg,http://www.concelloavion.org/
http://example.org/resource/concello/32005,http://www.wikidata.org/entity/Q1627554,32005,Q1627554,Baltar,Point(-7.715833333 41.95),41.95,-7.715833333,http://commons.wikimedia.org/wiki/Special:FilePath/Baltar%20Cementerio%2062.JPG,
http://example.org/resource/concello/32006,http://www.wikidata.org/entity/Q1645000,32006,Q1645000,Bande,Point(-7.975277777 42.030555555),42.030555555,-7.975277777,http://commons.wikimedia.org/wiki/Special:FilePath/Bande%2C%20Casa%20do%20Concello.JPG,
http://example.org/resource/concello/32007,http://www.wikidata.org/entity/Q1632922,32007,Q1632922,Baños de Molgas,Point(-7.672777777 42.241111111),42.241111111,-7.672777777,http://commons.wikimedia.org/wiki/Special:FilePath/Santuario%20da%20Nosa%20Se%C3%B1ora%20dos%20Milagres%2019.JPG,
http://example.org/resource/concello/32008,http://www.wikidata.org/entity/Q1627578,32008,Q1627578,Barbadanes,Point(-7.906388888 42.300277777),42.300277777,-7.906388888,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20do%20Concello%20de%20Barbad%C3%A1s.JPG,https://www.barbadas.es/
http://example.org/resource/concello/32009,http://www.wikidata.org/entity/Q1607428,32009,Q1607428,El Barco de Valdeorras,Point(-6.983055555 42.416666666),42.416666666,-6.983055555,http://commons.wikimedia.org/wiki/Special:FilePath/O%20Barco%20de%20Valdeorras.jpg,https://www.concellodobarco.gal/
http://example.org/resource/concello/32011,http://www.wikidata.org/entity/Q1627591,32011,Q1627591,Beariz,Point(-8.2704338 42.4661929),42.4661929,-8.2704338,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20consistorial%20de%20Beariz.jpg,
http://example.org/resource/concello/32012,http://www.wikidata.org/entity/Q1627544,32012,Q1627544,Blancos,Point(-7.716944444 42.004722222),42.004722222,-7.716944444,http://commons.wikimedia.org/wiki/Special:FilePath/Nocedo%2C%20Os%20Blancos%2C%20Ourense%202.jpg,
http://example.org/resource/concello/32013,http://www.wikidata.org/entity/Q1627596,32013,Q1627596,Boborás,Point(-8.143333333 42.432777777),42.432777777,-8.143333333,http://commons.wikimedia.org/wiki/Special:FilePath/Concello%20de%20Bobor%C3%A1s.JPG,
http://example.org/resource/concello/32014,http://www.wikidata.org/entity/Q523929,32014,Q523929,La Bola,Point(-7.914722222 42.151666666),42.151666666,-7.914722222,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20do%20Concello%20da%20Bola.JPG,
http://example.org/resource/concello/32015,http://www.wikidata.org/entity/Q1617349,32015,Q1617349,El Bollo,Point(-7.098888888 42.306666666),42.306666666,-7.098888888,http://commons.wikimedia.org/wiki/Special:FilePath/Concello%20do%20Bolo.jpg,http://www.obolo.es
http://example.org/resource/concello/32016,http://www.wikidata.org/entity/Q777044,32016,Q777044,Calvos de Randín,Point(-7.875555555 41.904722222),41.904722222,-7.875555555,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20consistorial%20de%20Calvos%20de%20Rand%C3%ADn.jpg,http://www.calvosderandin.com/webjoomla/index.php/gal/
http://example.org/resource/concello/32017,http://www.wikidata.org/entity/Q1607709,32017,Q1607709,Carballeda de Valdeorras,Point(-6.8775 42.376111111),42.376111111,-6.8775,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20do%20concello%20de%20Carballeda%20de%20Valdeorras%2C%20provincia%20de%20Ourense.jpg,
http://example.org/resource/concello/32018,http://www.wikidata.org/entity/Q940960,32018,Q940960,Carballeda de Avia,Point(-8.165277777 42.321388888),42.321388888,-8.165277777,http://commons.wikimedia.org/wiki/Special:FilePath/H%C3%B3rreos%20de%20Muimenta%2C%20Carballeda%20de%20Avia%2C%20Galicia.jpg,
http://example.org/resource/concello/32019,http://www.wikidata.org/entity/Q1607558,32019,Q1607558,Carballino,Point(-8.077466 42.429638),42.429638,-8.077466,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20do%20Concello%20do%20Carballi%C3%B1o.JPG,http://www.carballino.gal/
http://example.org/resource/concello/32020,http://www.wikidata.org/entity/Q1606020,32020,Q1606020,Cartelle,Point(-8.0688652 42.2492308),42.2492308,-8.0688652,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20do%20Concello%20de%20Cartelle.JPG,
http://example.org/resource/concello/32021,http://www.wikidata.org/entity/Q1607748,32021,Q1607748,Castrelo del Valle,Point(-7.424166666 41.990555555),41.990555555,-7.424166666,http://commons.wikimedia.org/wiki/Special:FilePath/Concello%20de%20Castrelo%20do%20Val.JPG,http://castrelodoval.gal/
