PROVINCIA,CODIGO_PROVINCIA,CONCELLO,CODIGO_CONCELLO,PRAIA,LUGAR_E_PARROQUIA,LONXITUDE,TIPO,TIPO_DE_AREA,COORDENADAS,Coordenada_X,Coordenada_Y,MAIS_INFORMACION_EN_TURGALICIA
A Coruña,15,Oleiros,15058,Q28121966,,310,Praia resgardada,Fina,43.382777/-8.3425,43.382777,-8.3425,http://www.turismo.gal/ficha-recurso?cod_rec=265406054
A Coruña,15,Oleiros,15058,Mera,A Lagoa - Maianca (San Cosme),200,Praia resgardada,Fina,43.379055/-8.33775,43.379055,-8.33775,http://www.turismo.gal/ficha-recurso?cod_rec=10254
A Coruña,15,Oleiros,15058,A Aguieira,A Aguieira - Dorneda (San Martiño),180,Praia resgardada,Cantos rodados,43.353389/-8.346555,43.353389,-8.346555,http://www.turismo.gal/ficha-recurso?cod_rec=11434
A Coruña,15,Oleiros,15058,Beach of Santa Cristina,Perillo - Perillo (Santa Locaia),1800,Praia aberta,Fina,43.339777/-8.380083,43.339777,-8.380083,http://www.turismo.gal/ficha-recurso?cod_rec=9877
A Coruña,15,A Pobra do Caramiñal,15940,Lombiña,Lombiña,600,Praia resgardada,Fina,42.587299056497315/-8.929797373709878,42.587299056497315,-8.929797373709878,https://www.turismo.gal/recurso/-/detalle/9914/cabio-lombina
A Coruña,15,Ponteceso,15068,Balarés,Balarés - Cospindo (San Tirso),350,Praia resgardada,Fina,43.24166500/-8.94527700,43.24166500,-8.94527700,http://www.turismo.gal/recurso/-/detalle/11448/balares
A Coruña,15,Ponteceso,15068,Ermida,Gondomil - Corme Aldea (Santo Adrán),200,Praia resgardada,Fina,43.26389000/-8.95000000,43.26389000,-8.95000000,http://www.turismo.gal/recurso/-/detalle/10286/ermida
A Coruña,15,Ponteceso,15068,Osmo,O Porto de Corme - Corme Porto (Nosa Señora dos Remedios),150,Praia resgardada,Fina,43.29416700/-8.90277800,43.29416700,-8.90277800,http://www.turismo.gal/recurso/-/detalle/10284/osmo
A Coruña,15,As Pontes de García Rodríguez,15320,As Pontes Lake,Vilavella (Santa María),400,Praia resgardada,Grosa,43.454911751447035/-7.870142559382717,43.454911751447035,-7.870142559382717,https://www.turismo.gal/recurso/-/detalle/220620000208/praia-do-lago-das-pontes
Lugo,27,Barreiros,27005,San Pedro,San Cosme - San Cosme de Barreiros,800,Praia aberta,Fina,43.564465/-7.2200447,43.564465,-7.2200447,http://www.turismo.gal/ficha-recurso?cod_rec=10157 
