nombre,concello,provincia,lat,lon,wikidata,qid,label_wd,label_gl,imagen_url,longitud_wd,lat_wd,lon_wd,municipio_wd,delta_lat,delta_lon
Doniños,Ferrol,A Coruña,43.495916,-8.319194,http://www.wikidata.org/entity/Q28121846,Q28121846,Doniños,Doniños,,1900,43.4928,-8.3197,,0.00312,0.00051
Esmelle,Ferrol,A Coruña,43.53425,-8.295527,http://www.wikidata.org/entity/Q28121842,Q28121842,Esmelle,Esmelle,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Esmelle%20Ferrol%20A%20Coru%C3%B1a%20Spain.jpg,300,43.5343,-8.2967,San Juan de Esmelle,5e-05,0.00117
Fragata,Ferrol,A Coruña,43.5385,-8.296833,http://www.wikidata.org/entity/Q28121841,Q28121841,Fragata,Fragata,,200,43.538599999,-8.296999999,,0.0001,0.00017
San Xurxo,Ferrol,A Coruña,43.526222,-8.301806,http://www.wikidata.org/entity/Q28121843,Q28121843,San Xurxo,San Xurxo,http://commons.wikimedia.org/wiki/Special:FilePath/Raia%20de%20San%20Xurxo%2C%20Ferrol%20-%20Panor%C3%A1mica.jpg,1800,43.5258,-8.301099999,Ferrol,0.00042,0.00071
Laxe,Laxe,A Coruña,43.217206,-9.0029587,http://www.wikidata.org/entity/Q28121874,Q28121874,Laxe,Laxe,http://commons.wikimedia.org/wiki/Special:FilePath/Laxe.jpg,1400,43.216399999,-8.9982,,0.00081,0.00476
Maior De Malpica,Malpica De Bergantiños,A Coruña,43.32331266438123,-8.815276501138147,http://www.wikidata.org/entity/Q28121685,Q28121685,Maior de Malpica,Area Maior,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Area%20Maior-Malpica%20de%20Berganti%C3%B1os.jpg,378,43.3234,-8.814399999,Malpica de Bergantiños,9e-05,0.00088
Fariones Playa,Miño,A Coruña,43.35928,-8.209444,http://www.wikidata.org/entity/Q24023700,Q24023700,Fariones,Blanca,http://commons.wikimedia.org/wiki/Special:FilePath/Lanzarote2012%20102.jpg,1190,28.91994,-13.66134,Tías,14.43934,5.4519
Pequeña De Miño,Miño,A Coruña,43.3495099999242,-8.210029371615443,http://www.wikidata.org/entity/Q28121898,Q28121898,Pequeña de Miño,praia Pequena de Miño,http://commons.wikimedia.org/wiki/Special:FilePath/Playa%20de%20Sumi%C3%B1o%2C%20Mi%C3%B1o.jpg,420,43.3501,-8.210599999,Miño,0.00059,0.00057
Perbes,Miño,A Coruña,43.376026,-8.214917,http://www.wikidata.org/entity/Q28121893,Q28121893,Perbes,praia de Perbes,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Perbes.JPG,540,43.37605,-8.214428,San Pedro de Perbes,2e-05,0.00049
San Francisco,Muros,A Coruña,42.759113863184346,-9.073862845516617,http://www.wikidata.org/entity/Q28121907,Q28121907,San Francisco,San Francisco,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Francisco%20%283%29.jpg,1000,42.7591,-9.0724,,1e-05,0.00146
A Aguieira,Oleiros,A Coruña,43.353389,-8.346555,http://www.wikidata.org/entity/Q20545069,Q20545069,A Aguieira,A Aguieira,,,43.3539885,-8.3521507,San Martiño de Dorneda,0.0006,0.0056
Beach Of Bastiagueiro,Oleiros,A Coruña,43.340722,-8.362361,http://www.wikidata.org/entity/Q12398074,Q12398074,Playa de Bastiagueiro,praia de Bastiagueiro,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Bastiagueiro.jpg,500,43.34159,-8.36281,Bastiagueiro,0.00087,0.00045
Beach Of Santa Cristina,Oleiros,A Coruña,43.339777,-8.380083,http://www.wikidata.org/entity/Q12398093,Q12398093,Praia de Santa Cristina,Praia de Santa Cristina,http://commons.wikimedia.org/wiki/Special:FilePath/Beach%20of%20Santa%20Cristina.jpg,1520,43.33951,-8.37747,provincia de La Coruña,0.00027,0.00261
