space,spaceName,wd,capacity,lat,lon,inception,coord,wikidataLabel,instanceOfLabel,officialWebsite,wikidataLat,wikidataLon
http://example.org/resource/espazo/Pazo%20da%20Cultura%20de%20Nar%C3%B3n,Pazo da Cultura de Narón,http://www.wikidata.org/entity/Q12397270,900,43.496674,-8.195536,,Point(-8.195212388 43.496212446),Palau de Cultura de Narón,teatro | edificio,,43.496212446,-8.195212388
http://example.org/resource/espazo/Teatro%20Rosal%C3%ADa%20de%20Castro,Teatro Rosalía de Castro,http://www.wikidata.org/entity/Q12400946,662,43.370504,-8.398303,1868-01-01T00:00:00Z,Point(-8.39861 43.3703),Teatro Rosalía de Castro,teatro,https://www.coruna.gal/cultura/es/espacios/detalle-para-entidad/teatro-rosalia-castro/entidad/1150819583294?argIdioma=es,43.3703,-8.39861
http://example.org/resource/espazo/Teatro%20Jofre,Teatro Jofre,http://www.wikidata.org/entity/Q11951077,556,43.482547,-8.23376,1892-01-01T00:00:00Z,Point(-8.23368 43.4824),Teatro Jofre,teatro,http://www.ferrol.es/jofre_es/Paginas/SelEvento.aspx,43.4824,-8.23368
http://example.org/resource/espazo/Pontevedra%20Principal%20Theatre,Pontevedra Principal Theatre,http://www.wikidata.org/entity/Q12400945,434,42.432473,-8.646487,1878-01-01T00:00:00Z,Point(-8.646257833 42.432433),Teatro Principal de Pontevedra,teatro,,42.432433,-8.646257833
http://example.org/resource/espazo/Cultural%20Center%20of%20Carballo,Cultural Center of Carballo,http://www.wikidata.org/entity/Q12397271,350,43.211588,-8.695261,2002-01-01T00:00:00Z,Point(-8.695575562 43.211446162),Cultural Center of Carballo,teatro,,43.211446162,-8.695575562
http://example.org/resource/espazo/Teatro%20Coliseo%20Noela,Teatro Coliseo Noela,http://www.wikidata.org/entity/Q12400937,342,42.7827855,-8.8893874,1921-01-01T00:00:00Z,Point(-8.887182687 42.782783163),Q12400937,teatro,,42.782783163,-8.887182687
http://example.org/resource/espazo/Biblioteca%20Municipal%20de%20A%20Coru%C3%B1a%20-%20F%C3%B3rum%20Metropolitano,Biblioteca Municipal de A Coruña - Fórum Metropolitano,http://www.wikidata.org/entity/Q85819399,300,43.355734,-8.398987,1996-01-01T00:00:00Z,Point(-8.40006 43.3556),Biblioteca Municipal de A Coruña - Fórum Metropolitano,biblioteca pública | biblioteca sucursal,http://www.coruna.es/bibliotecas,43.3556,-8.40006
http://example.org/resource/espazo/Teatro%20da%20Beneficencia,Teatro da Beneficencia,http://www.wikidata.org/entity/Q12400943,250,43.684543,-7.854775,1850-01-01T00:00:00Z,Point(-7.854537937 43.684465802),Q12400943,teatro,,43.684465802,-7.854537937
