codigoCampo,nombreCampo,coordX,coordY,nombreDistrito
85,Centro_Deportivo_Municipal_Aluche,-3.772203,40.383207,Latina
85,Centro_Deportivo_Municipal_Aluche,-3.772203,40.383207,Carabanchel
95,Centro_Deportivo_Municipal_La_Fundi,-3.691159,40.394479,Arganzuela
95,Centro_Deportivo_Municipal_La_Fundi,-3.691159,40.394479,Villaverde
103,Centro_Deportivo_Municipal_Vicente_del_Bosque,-3.693519,40.478818,Fuencarral-El_Pardo
217,FaTBOL_SALA_EXTERIOR_ENTREVaAS,-3.673486,40.377917,Puente_de_Vallecas
367,Centro_Deportivo_Municipal_Palomeras,-3.633941,40.382634,Puente_de_Vallecas
374,Plata_y_Castaaar_park,-3.718068,40.350610,Villaverde
385,Plata_y_Castaaar_park,-3.718068,40.350610,Villaverde
385,Plata_y_Castaaar_park,-3.718068,40.350610,Salamanca
385,Plata_y_Castaaar_park,-3.718068,40.350610,Arganzuela
584,Centro_Deportivo_Municipal_Falix_Rubio,-3.691598,40.357424,Centro
584,Centro_Deportivo_Municipal_Falix_Rubio,-3.691598,40.357424,Villaverde
682,Centro_Deportivo_Municipal_Gallur,-3.737189,40.398655,Latina
735,PISTA_1_BALONCESTO_ALUCHE,-3.772203,40.383207,Latina
762,FaTBOL_7_CAMPO_2_ALUCHE,-3.772203,40.383207,Latina
765,Centro_Deportivo_Municipal_La_Fundi,-3.691159,40.394479,Arganzuela
833,Centro_Deportivo_Municipal_Cerro_Almodavar,-3.602449,40.382753,Villa_de_Vallecas
845,PABELLON_1_CIUDAD_DE_LOS_POETAS,-3.719005,40.466013,Moncloa-Aravaca
871,Q135957017,-3.686213,40.413067,Retiro
991,Centro_Deportivo_Municipal_Moratalaz,-3.631419,40.398358,Moratalaz
996,Centro_Deportivo_Municipal_Moratalaz,-3.631419,40.398358,Moratalaz
1104,PABELLaN_1_SAN_BLAS,-3.611354,40.428802,San_Blas-Canillejas
1104,PABELLaN_1_SAN_BLAS,-3.611354,40.428802,Ciudad_Lineal
1475,Centro_Deportivo_Municipal_Gallur,-3.737189,40.398655,Latina
1927,Centro_Deportivo_Municipal_La_Elipa,-3.655969,40.414489,Moratalaz
70033,Centro_Deportivo_Municipal_Francisco_Fernandez_Ochoa,-3.740824,40.365389,Latina
70033,Centro_Deportivo_Municipal_Francisco_Fernandez_Ochoa,-3.740824,40.365389,Carabanchel
70033,Centro_Deportivo_Municipal_Francisco_Fernandez_Ochoa,-3.740824,40.365389,Salamanca
100227,Centro_Deportivo_Municipal_Gallur,-3.737189,40.398655,Latina
100227,Centro_Deportivo_Municipal_Gallur,-3.737189,40.398655,Carabanchel
101841,CPR_MARAVILLAS_BEN_1_-_CENTRO,0,0,Centro
101892,Estadio_Chamartan,0,0,Chamartan
