codigoFase,nombreFase
9890,FASE_GRUPO_46_JDM
9862,FASE_GRUPO_46_JDM
9854,FASE_GRUPO_46_JDM
9930,FASE_GRUPO_46_JDM
9882,FASE_GRUPO_46_JDM
9898,FASE_GRUPO_46_JDM
9906,FASE_GRUPO_46_JDM
9866,FASE_GRUPO_46_JDM
9926,FASE_GRUPO_46_JDM
9894,FASE_GRUPO_46_JDM
9902,FASE_GRUPO_46_JDM
9975,FASE_GRUPO_46_JDM
9910,FASE_GRUPO_46_JDM
9878,FASE_GRUPO_46_JDM
9870,FASE_GRUPO_46_JDM
9886,FASE_GRUPO_46_JDM
9858,FASE_GRUPO_46_JDM
9914,FASE_GRUPO_46_JDM
9874,FASE_GRUPO_46_JDM
9871,SEGUNDA_FASE_GRUPO_46_JDM
9922,FASE_GRUPO_46_JDM
9918,FASE_GRUPO_46_JDM
9973,FASE_DE_GRUPO
