codigoGrupo,nombreGrupo,sexoGrupo
27927,JDM_LAT_SAB_MAa_FS_SEN_MAS,M
29850,JDM_CAR_SAB_MAa_FS_CAD_MAS,M
27942,JDM_LAT_FS_INF_MAS,M
27260,JDM_ARG_FS_ALE_MXT_GRUPO_2,X
27257,JDM_ARG_FS_ALE_MXT_GRUPO_1,X
27256,JDM_ARG_FS_BEN_MXT_GRUPO_1,X
28578,JDM_VIL_SAB_MAa_FS_INF_MAS,M
27736,JDM_FUE_SAB_TAR_FS_SEN_MAS_VICENTE_DEL_BOSQUE,M
27715,JDM_FUE_DOM_MAa_FS_SEN_MAS_MONTECARMELO,M
28133,JDM_VAL_FS_CAD_MAS,M
28119,JDM_VAL_DOM_MAa_FS_SEN_MAS,M
28120,JDM_VAL_DOM_TAR_FS_SEN_MAS,M
28135,JDM_VAL_FS_JUV_MAS,M
28150,JDM_VAL_FS_ALE_MIX,X
29895,JDM_VAL_FS_INF_MAS_NUEVO,M
28576,JDM_VIL_SAB_MAa_FS_BEN_MIX_G1,X
28309,JDM_SAL_SAB_FS_INF_FEM_aNICO,F
27259,JDM_ARG_SAB_TAR_FS_JUV_MAS_PTO._BEJAR,M
28575,JDM_VIL_SAB_MAa_FS_ALE_MIX_G1,X
28577,JDM_VIL_SAB_MAa_FS_CAD_MAS,M
28580,JDM_VIL_DOM_TAR_FS_SEN_MAS_FR,M
27422,JDM_CEN_SAB_MAa_BM_ALE_MIX_G1,X
27423,JDM_CEN_SAB_MAa_BM_ALE_MIX_G2,X
27936,JDM_LAT_DOM_MAa_BC_SEN_MAS,M
27963,JDM_LAT_MBC_PBJ_MIX,X
27934,JDM_LAT_DOM_MAa_BC_SEN_FEM_G1,F
27946,JDM_LAT_MBC_BEN_MIX,X
27958,JDM_LAT_MBC_ALV_MIX_G2,X
27956,JDM_LAT_BC_JUV_MAS_G1,M
27948,JDM_LAT_BC_INF_FEM,F
27980,JDM_LAT_BC_JUV_MAS_G2,M
27925,JDM_LAT_DOM_MAa_F7_SEN_MAS_G3,M
27923,JDM_LAT_DOM_MAa_F7_SEN_MAS_G1,M
27924,JDM_LAT_DOM_MAa_F7_SEN_MAS_G2,M
27971,JDM_LAT_DOM_TAR_F7_SEN_MAS_G2,M
27269,JDM_ARG_VB_INF_MXT_GR_MIXTO,X
27253,JDM_ARG_VB_CAD_FEM_GR._4,F
27252,JDM_ARG_VB_CAD_FEM_GR._2,F
27254,JDM_ARG_VB_CAD_FEM_GR._3,F
28526,JDM_VIV_DOM_MAa_FS_SEN_MAS,M
28527,JDM_VIV_SAB_TAR_FS_SEN_MAS,M
28061,JDM_MON_SAB_MAa_MNBC_ALE_MIX_A,X
28065,JDM_MON_SAB_MAa_MNBC_BEN_MIX,X
28064,JDM_MON_SAB_MAa_MNBC_ALE_MIX_B,X
28228,JDM_RET_SAB_MAa_F7_ALE_MIX_1,X
28218,JDM_RET_SAB_TAR_F7_SEN_MAS_CDM_CHOPERA_S1_15-17H,M
28220,JDM_RET_SAB_TAR_F7_SEN_MAS_CDM_CHOPERA_S3_18-20H,M
28223,JDM_RET_DOM_MAa_F7_SEN_MAS_CDM_CHOPERA_D6_12-14H,M
28221,JDM_RET_DOM_MAa_F7_SEN_MAS_CDM_CHOPERA_D4_9-11H,M
28226,JDM_RET_DOM_TAR_F7_SEN_MAS_CDM_CHOPERA_D9_15-17H,M
28227,JDM_RET_DOM_TAR_F7_SEN_MAS_ADELF_D10_18-20H(OBRAS),M
28244,JDM_RET_SAB_MAa_F7_PBJ_MIX,X
28231,JDM_RET_SAB_MAa_F7_INF_MAS,M
28229,JDM_RET_SAB_MAa_F7_BEN_MIX_1,X
29523,JDM_MOR_SAB_BC_CAD_MAS,M
29509,JDM_MOR_SAB_TAR_BC_SEN_MAS_G1,M
29510,JDM_MOR_SAB_TAR_BC_SEN_MAS_G2,M
29511,JDM_MOR_DOM_MAa_BC_SEN_MAS_G1,M
29522,JDM_MOR_SAB_BC_JUV_MAS,M
29513,JDM_MOR_DOM_TAR_BC_SEN_MAS,M
29512,JDM_MOR_DOM_MAa_BC_SEN_MAS_G2,M
29878,JDM_MOR_SAB_BC_INF_MASC,M
29532,JDM_MOR_DOM_MAa_BC_SEN_MAS_G3,M
29533,JDM_MOR_SAB_TAR_F7_SEN_MAS_G2,M
29515,JDM_MOR_SAB_TAR_F7_SEN_MAS_G1,M
29514,JDM_MOR_SAB_MAa_F7_SEN_MAS,M
29518,JDM_MOR_DOM_TAR_F7_SEN_MAS_G2,M
29517,JDM_MOR_DOM_TAR_F7_SEN_MAS_G1,M
29540,JDM_MOR_SAB_MAa_F7_ALE_MIX,X
28360,JDM_SAN_VIE_TAR_FS_PBJ_MIX_2,X
28346,JDM_SAN_DOM_MAa_FS_SEN_MAS,M
27657,JDM_CIU_SABDOM_FS_CAD_MAS,M
28347,JDM_SAN_L-X_SEN_MAS_(21H_Y_22H_PABELLaN_Y_P.EXT),M
28359,JDM_SAN_VIE_TAR_FS_PBJ_MIX_1,X
28358,JDM_SAN_SAB_MAa_FS_CAD_MAS,M
28357,JDM_SAN_SAB_MAa_FS_INF_MAS_1,M
28356,JDM_SAN_SAB_MAa_FS_BEN_MIX_2,X
28355,JDM_SAN_SAB_MAa_FS_BEN_MIX_1,X
28354,JDM_SAN_SAB_MAa_FS_ALE_MIX_3,X
28353,JDM_SAN_SAB_MAa_FS_ALE_MIX_2,X
28352,JDM_SAN_SAB_MAa_FS_ALE_MIX_1,X
